Name of our product,Price,Link
Ноутбук Acer A315-34 Intel Pentium N5030 4GB DDR4 512GB SSD DOS,33100 сом,https://www.kivano.kg//images/product/97831/1631702287_25770100.jpg
Ноутбук Lenovo Ideapad 15IGL05 Intel Celeron N4020 4GB DDR4 500GB HDD + 240GB SSD DOS Platinum Gray,29920 сом,https://www.kivano.kg//images/product/104487/1647671835_68377400.jpg
Ноутбук Lenovo Ideapad 15ADA05 AMD Ryzen 3 3250U 12GB DDR4 1000GB HDD + 128GB SSD DOS Black,42550 сом,https://www.kivano.kg//images/product/104999/1648672966_26119200.jpg
Ноутбук Acer A315-34 Intel Pentium N5030 8GB DDR4 512GB SSD DOS,34870 сом,https://www.kivano.kg//images/product/97832/1631702302_04912400.jpg
Ноутбук Lenovo Ideapad 15ADA05 AMD Ryzen 3 3250U 4GB DDR4 1000GB HDD + 256GB SSD DOS Black,39900 сом,https://www.kivano.kg//images/product/105000/1648672976_41641700.jpg
Ноутбук Acer A315-34 Intel Pentium N5030 4GB DDR4 500GB HDD + 128GB SSD DOS,33540 сом,https://www.kivano.kg//images/product/97833/1631703193_17186800.jpg
Ноутбук Lenovo Ideapad 15IGL05 Intel Celeron N4020 4GB DDR4 1000GB HDD + 240GB SSD DOS Platinum Gray,30360 сом,https://www.kivano.kg//images/product/104489/1647671856_36375900.jpg
Ноутбук Lenovo Ideapad 15ADA05 AMD Ryzen 3 3250U 8GB DDR4 1000GB HDD + 256GB SSD DOS Black,41660 сом,https://www.kivano.kg//images/product/105001/1648672987_59143900.jpg
Ноутбук Acer A315-34 Intel Pentium N5030 4GB DDR4 1000GB HDD + 128GB SSD DOS,33720 сом,https://www.kivano.kg//images/product/97834/1631703205_47578000.jpg
Ноутбук Lenovo V15-82C3 Intel Celeron N4020 4GB DDR 1000GB HDD Intel UHD Graphics 620 HD DOS серый,29560 сом,https://www.kivano.kg//images/product/101418/1639734393_93455300.png
Ноутбук Lenovo Ideapad 15ADA05 AMD Ryzen 3 3250U 12GB DDR4 1000GB HDD + 256GB SSD DOS Black,45460 сом,https://www.kivano.kg//images/product/105002/1648672998_39523700.jpg
Ноутбук HP 250 G7 1F3J3EA#ACB Intel Celeron N4020 4GB DDR4 1000GB HDD Intel UHD Graphics 620 FHD DOS черный,31770 сом,https://www.kivano.kg//images/product/91691/1619689592_71136600.jpg
Ноутбук Acer A315-34 Intel Pentium N5030 4GB DDR4 500GB HDD + 256GB SSD DOS,34250 сом,https://www.kivano.kg//images/product/97835/1631703217_20666500.jpg
Ноутбук Lenovo Ideapad 15ADA05 AMD Ryzen 3 3250U 8GB DDR4 1000GB HDD + 512GB SSD DOS Black,43690 сом,https://www.kivano.kg//images/product/105003/1648673017_63474200.jpg
Ноутбук Acer A315-34 Intel Pentium N5030 4GB DDR4 1000GB HDD + 256GB SSD DOS,34420 сом,https://www.kivano.kg//images/product/97836/1631703227_66431800.jpg
Ноутбук Lenovo Ideapad V15 G2 ITL Intel Core i3-1115G4 12GB DDR 256GB SSD Intel HD Graphics 620 FHD DOS черный,46070 сом,https://www.kivano.kg//images/product/105004/1648695520_75494400.png
Ноутбук Acer A315-34 Intel Pentium N5030 8GB DDR4 500GB HDD + 128GB SSD DOS,35310 сом,https://www.kivano.kg//images/product/97837/1631703244_99590900.jpg
Ноутбук HP 250 G8 27K00EA#ACB Intel Core i5-1035G1 8GB DDR4 256GB SSD Intel UHD Graphics G1 FHD DOS серебро,66140 сом,https://www.kivano.kg//images/product/99117/1633761331_10623400.jpg
Ноутбук Lenovo V15-82C3 Intel Celeron N4020 4GB DDR 480GB SSD Intel UHD Graphics 620 HD DOS серый,31770 сом,https://www.kivano.kg//images/product/101421/1639734825_45424200.png
Ноутбук Lenovo Ideapad V15 G2 ITL Intel Core i3-1115G4 12GB DDR 500GB SSD Intel HD Graphics 620 FHD DOS черный,48360 сом,https://www.kivano.kg//images/product/105005/1648695383_76684200.png
Ноутбук Lenovo IdeaPad Gaming 3 15IHU6 Intel Core i5-11300H 8GB DDR 512GB SSD Nvidia RTX3050 4GB FHD DOS черный,89610 сом,https://www.kivano.kg//images/product/105517/1650430607_06457500.jpg
Ноутбук Acer A315-34 Intel Pentium N5030 8GB DDR4 1000GB HDD + 128GB SSD DOS,35480 сом,https://www.kivano.kg//images/product/97838/1631703261_93349900.jpg
Ноутбук Lenovo Ideapad V15 G2 ITL Intel Core i3-1115G4 20GB DDR 256GB SSD Intel HD Graphics 620 FHD DOS черный,48720 сом,https://www.kivano.kg//images/product/105006/1648695628_30610800.png
Ноутбук Acer A315-34 Intel Pentium N5030 8GB DDR4 500GB HDD + 256GB SSD DOS,36010 сом,https://www.kivano.kg//images/product/97839/1631703274_54393800.jpg
Ноутбук Lenovo IdeaPad 3 15IGL05 Intel Celeron N4020 4GB DDR 1000GB HDD Intel UHD Graphics 600 HD DOS серый,27360 сом,https://www.kivano.kg//images/product/98351/1632391925_57661600.jpg
Ноутбук Lenovo Ideapad V15 G2 ITL Intel Core i3-1115G4 4GB DDR 256GB SSD Intel HD Graphics 620 FHD DOS черный,43520 сом,https://www.kivano.kg//images/product/105007/1648695748_48078300.png
Ноутбук Acer A315-34 Intel Pentium N5030 8GB DDR4 1000GB HDD + 256GB SSD DOS,36190 сом,https://www.kivano.kg//images/product/97840/1631703285_49008700.jpg
Ноутбук Lenovo Ideapad V15 G2 ITL Intel Core i3-1115G4 4GB DDR 500GB SSD Intel HD Graphics 620 FHD DOS черный,45900 сом,https://www.kivano.kg//images/product/105008/1648695988_88983400.png
Ноутбук Lenovo Ideapad S145-15AST AMD A6-9225 4GB DDR4 500GB HDD AMD Radeon R7 2GB HD черный,36630 сом,https://www.kivano.kg//images/product/83761/1599712319_59019700.png
Ноутбук Asus X540UB Intel Core i3-7020U 8GB DDR 120GB SSD Intel HD Graphics 620 FHD DVDRW серебристый,44050 сом-6%41410 сом,https://www.kivano.kg//images/product/87345/1608886460_89933000.jpg
Ноутбук Lenovo IdeaPad 3 15IIL05 Intel Core i3-1005G1 8GB DDR4 256GB SSD Intel Graphics 620 HD DOS серый,42100 сом,https://www.kivano.kg//images/product/97585/1631261651_90829100.jpg
Ноутбук Lenovo Ideapad S145-15AST AMD A6-9225 8GB DDR4 500GB HDD AMD Radeon R7 2GB HD черный,38850 сом,https://www.kivano.kg//images/product/83762/1599712425_97037000.png
Ноутбук HP ENVY x360 15-ed1055wm 389F2UA#ABA intel core i5-1135G7 8GB DDR4 512GB SSD Intel Iris Xe Graphics G7 FHD DOS WIN10 серебристый,93360 сом,https://www.kivano.kg//images/product/99122/1633761981_99090700.jpg
Ноутбук Lenovo Ideapad V15 G2 ITL Intel Core i3-1115G4 8GB DDR 500GB SSD Intel HD Graphics 620 FHD DOS черный,47310 сом,https://www.kivano.kg//images/product/105010/1648696183_37350500.png
Ноутбук Lenovo Ideapad S145-15AST AMD A6-9225 4GB DDR4 128GB SSD AMD Radeon R7 2GB HD черный,36630 сом,https://www.kivano.kg//images/product/83763/1599712560_55165800.png
Ноутбук HP ENVY x360 15-eu0016ur 4E0U9EA#ABA AMD Ryzen 7 5700U 16GB DDR4 1000GB SSD AMD Radeon Graphics 8 FHD WIN10 черный,125350 сом,https://www.kivano.kg//images/product/99123/1633762340_47904600.jpg
